 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0003.806641, 000980,  0.098, _,    -00037, 000076, -00035,    
 0003.816406, 000985,  0.099, _,    -00041, 000079, -00034,    
 0003.826172, 000981,  0.098, _,    -00035, 000075, -00034,    
 0003.835938, 000981,  0.098, _,    -00028, 000073, -00031,    
 0003.845703, 000981,  0.098, _,    -00031, 000082, -00033,    
 0003.855469, 000980,  0.098, _,    -00032, 000076, -00031,    
 0003.865234, 000981,  0.098, _,    -00044, 000074, -00034,    
 0003.875000, 000981,  0.098, _,    -00038, 000076, -00034,    
 0003.886719, 000979,  0.098, _,    -00036, 000077, -00037,    
 0003.896484, 000980,  0.098, _,    -00037, 000078, -00033,    
 0003.906250, 000989,  0.099, _,    -00035, 000078, -00031,    
 0003.916016, 000991,  0.099, _,    -00034, 000077, -00043,    
 0003.925781, 000985,  0.099, _,    -00033, 000072, -00038,    
 0003.935547, 000983,  0.098, _,    -00038, 000076, -00036,    
 0003.945312, 000981,  0.098, _,    -00033, 000074, -00038,    
 0003.955078, 000982,  0.098, _,    -00032, 000083, -00035,    
 0003.966797, 000981,  0.098, _,    -00034, 000069, -00039,    
 0003.976562, 000980,  0.098, _,    -00027, 000077, -00034,    
 0003.986328, 000981,  0.098, _,    -00032, 000082, -00034,    
 0003.996094, 000982,  0.098, _,    -00036, 000070, -00027,    
 0004.005859, 000990,  0.099, _,    -00035, 000077, -00036,    
 0004.015625, 000984,  0.098, _,    -00046, 000085, -00041,    
 0004.025391, 000980,  0.098, _,    -00037, 000076, -00030,    
 0004.035156, 000981,  0.098, _,    -00033, 000071, -00033,    
 0004.046875, 000981,  0.098, _,    -00037, 000075, -00037,    
 0004.056641, 000982,  0.098, _,    -00034, 000074, -00037,    
 0004.066406, 000981,  0.098, _,    -00033, 000076, -00031,    
 0004.076172, 000981,  0.098, _,    -00032, 000071, -00033,    
 0004.085938, 000983,  0.098, _,    -00039, 000067, -00043,    
 0004.095703, 000983,  0.098, _,    -00037, 000068, -00035,    
 0004.105469, 000982,  0.098, _,    -00031, 000076, -00033,    
 0004.115234, 000980,  0.098, _,    -00036, 000078, -00035,    
 0004.125000, 000981,  0.098, _,    -00032, 000071, -00023,    
 0004.136719, 000982,  0.098, _,    -00030, 000075, -00029,    
 0004.146484, 001003,  0.100, _,    -00029, 000076, -00048,    
 0004.156250, 000984,  0.098, _,    -00039, 000067, -00034,    
 0004.166016, 000979,  0.098, _,    -00041, 000070, -00031,    
