 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0003.401794, 000990,  0.099, _,    -00156, 000023, 008267,    -00192.06, 000001.86, 008334.41,    
 0003.411804, 000992,  0.099, _,    -00184, 000004, 008351,    -00188.77, 000003.42, 008334.81,    
 0003.421783, 000993,  0.099, _,    -00194, -00015, 008377,    -00191.06, -00001.00, 008346.42,    
 0003.431793, 000993,  0.099, _,    -00180, -00001, 008296,    -00187.86, -00001.05, 008335.75,    
 0003.441803, 000991,  0.099, _,    -00181, -00034, 008372,    -00186.77, -00007.28, 008342.02,    
 0003.451782, 000989,  0.099, _,    -00190, 000009, 008342,    -00187.47, -00005.44, 008344.11,    
 0003.461792, 000988,  0.099, _,    -00215, -00021, 008346,    -00193.19, -00006.64, 008342.80,    
 0003.471802, 000990,  0.099, _,    -00211, -00033, 008317,    -00197.70, -00013.91, 008338.98,    
 0003.481812, 001017,  0.102, _,    -00184, -00013, 008314,    -00194.86, -00013.23, 008331.06,    
 0003.491791, 000995,  0.100, _,    -00213, -00006, 008338,    -00197.48, -00012.45, 008333.44,    
 0003.501801, 001000,  0.100, _,    -00242, -00024, 008383,    -00207.88, -00014.39, 008343.11,    
 0003.511810, 000995,  0.100, _,    -00180, -00007, 008371,    -00203.02, -00014.14, 008350.61,    
 0003.521790, 000991,  0.099, _,    -00196, -00013, 008374,    -00200.28, -00013.23, 008355.25,    
 0003.531799, 000997,  0.100, _,    -00219, -00012, 008424,    -00205.47, -00014.00, 008371.19,    
 0003.541809, 000990,  0.099, _,    -00177, -00034, 008351,    -00199.80, -00017.27, 008368.39,    
 0003.551788, 000993,  0.099, _,    -00209, 000000, 008329,    -00200.97, -00015.42, 008359.22,    
 0003.561798, 000991,  0.099, _,    -00177, -00031, 008383,    -00197.28, -00016.64, 008363.97,    
 0003.571808, 000989,  0.099, _,    -00202, -00027, 008319,    -00196.50, -00020.88, 008356.02,    
 0003.581787, 000993,  0.099, _,    -00179, -00036, 008324,    -00194.59, -00022.86, 008347.47,    
 0003.591797, 000991,  0.099, _,    -00182, -00003, 008354,    -00189.70, -00020.27, 008349.75,    
 0003.601807, 000992,  0.099, _,    -00180, -00023, 008331,    -00188.73, -00018.83, 008346.02,    
 0003.611786, 000990,  0.099, _,    -00206, -00023, 008301,    -00190.80, -00021.61, 008336.56,    
 0003.621796, 001000,  0.100, _,    -00176, -00017, 008355,    -00188.95, -00019.50, 008338.34,    
 0003.631805, 000990,  0.099, _,    -00226, 000008, 008373,    -00194.42, -00014.80, 008346.47,    
 0003.641785, 000990,  0.099, _,    -00221, -00002, 008407,    -00202.94, -00010.45, 008358.45,    
 0003.651794, 000990,  0.099, _,    -00175, -00028, 008321,    -00195.64, -00014.98, 008352.59,    
 0003.661804, 000991,  0.099, _,    -00179, -00010, 008306,    -00192.53, -00013.77, 008339.44,    
