 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0008.957031, 002024,  0.101, _,    0111, 0150, -030,    
 0008.976562, 002027,  0.101, _,    0104, 0150, -042,    
 0008.998047, 002027,  0.101, _,    0108, 0148, -028,    
 0009.017578, 002026,  0.101, _,    0106, 0146, -038,    
 0009.037109, 002034,  0.102, _,    0105, 0147, -039,    
 0009.056641, 002031,  0.102, _,    0109, 0147, -039,    
 0009.078125, 002030,  0.102, _,    0107, 0149, -034,    
 0009.097656, 002029,  0.101, _,    0104, 0150, -038,    
 0009.117188, 002023,  0.101, _,    0107, 0149, -041,    
 0009.136719, 002032,  0.102, _,    0106, 0148, -038,    
 0009.158203, 002026,  0.101, _,    0107, 0152, -036,    
 0009.177734, 002026,  0.101, _,    0104, 0153, -038,    
 0009.197266, 002022,  0.101, _,    0109, 0147, -041,    
 0009.216797, 002026,  0.101, _,    0111, 0148, -035,    
 0009.238281, 002028,  0.101, _,    0106, 0150, -033,    
 0009.257812, 002029,  0.101, _,    0104, 0144, -042,    
 0009.277344, 002026,  0.101, _,    0104, 0148, -033,    
 0009.296875, 002034,  0.102, _,    0108, 0144, -040,    
 0009.316406, 002027,  0.101, _,    0109, 0149, -034,    
 0009.337891, 002027,  0.101, _,    0108, 0148, -038,    
 0009.357422, 002028,  0.101, _,    0106, 0150, -035,    
 0009.376953, 002026,  0.101, _,    0103, 0152, -036,    
 0009.396484, 002028,  0.101, _,    0100, 0152, -039,    
 0009.417969, 002026,  0.101, _,    0107, 0149, -029,    
 0009.437500, 002025,  0.101, _,    0104, 0144, -042,    
