 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.571289, 000976,  0.976, _,    -00034, 000083, -00038,    
 0001.572266, 000975,  0.975, _,    -00034, 000079, -00038,    
 0001.573242, 000976,  0.976, _,    -00039, 000071, -00038,    
 0001.574219, 000976,  0.976, _,    -00039, 000068, -00039,    
 0001.575195, 000975,  0.975, _,    -00035, 000073, -00040,    
 0001.576172, 000976,  0.976, _,    -00034, 000080, -00037,    
 0001.577148, 000974,  0.974, _,    -00033, 000082, -00031,    
 0001.578125, 000977,  0.977, _,    -00034, 000078, -00027,    
 0001.579102, 000979,  0.979, _,    -00033, 000077, -00033,    
 0001.580078, 000977,  0.977, _,    -00033, 000073, -00038,    
 0001.581055, 000977,  0.977, _,    -00035, 000072, -00036,    
 0001.582031, 000976,  0.976, _,    -00037, 000078, -00033,    
 0001.583008, 000978,  0.978, _,    -00037, 000081, -00030,    
 0001.583984, 000977,  0.977, _,    -00039, 000080, -00030,    
 0001.584961, 000978,  0.978, _,    -00042, 000077, -00033,    
 0001.585938, 000978,  0.978, _,    -00042, 000073, -00033,    
 0001.586914, 000978,  0.978, _,    -00035, 000075, -00034,    
 0001.588379, 000977,  0.977, _,    -00031, 000077, -00034,    
 0001.589355, 000979,  0.979, _,    -00030, 000077, -00032,    
 0001.590332, 000977,  0.977, _,    -00036, 000075, -00026,    
 0001.591309, 000977,  0.977, _,    -00041, 000073, -00023,    
 0001.592285, 000976,  0.976, _,    -00041, 000073, -00025,    
 0001.593262, 000978,  0.978, _,    -00044, 000075, -00030,    
 0001.594238, 000978,  0.978, _,    -00041, 000074, -00036,    
 0001.595215, 000978,  0.978, _,    -00037, 000075, -00039,    
 0001.596191, 000977,  0.977, _,    -00038, 000078, -00035,    
 0001.597168, 000978,  0.978, _,    -00039, 000077, -00034,    
 0001.598145, 000978,  0.978, _,    -00039, 000078, -00033,    
 0001.599121, 000980,  0.980, _,    -00041, 000081, -00030,    
 0001.600098, 000977,  0.977, _,    -00041, 000079, -00029,    
 0001.601074, 000978,  0.978, _,    -00038, 000073, -00027,    
 0001.602051, 000978,  0.978, _,    -00035, 000069, -00026,    
 0001.603027, 000978,  0.978, _,    -00032, 000073, -00029,    
 0001.604004, 000978,  0.978, _,    -00032, 000073, -00035,    
 0001.604980, 000976,  0.976, _,    -00033, 000066, -00038,    
 0001.605957, 000978,  0.978, _,    -00039, 000066, -00034,    
 0001.606934, 000978,  0.978, _,    -00044, 000075, -00032,    
 0001.607910, 000978,  0.978, _,    -00039, 000079, -00033,    
 0001.609375, 000980,  0.980, _,    -00032, 000080, -00033,    
 0001.610352, 000976,  0.976, _,    -00036, 000076, -00033,    
 0001.611328, 000976,  0.976, _,    -00041, 000074, -00033,    
 0001.612305, 000978,  0.978, _,    -00037, 000076, -00032,    
 0001.613281, 000987,  0.987, _,    -00032, 000082, -00037,    
 0001.614258, 000978,  0.978, _,    -00030, 000090, -00038,    
 0001.615234, 000977,  0.977, _,    -00032, 000089, -00034,    
 0001.616211, 000976,  0.976, _,    -00039, 000079, -00034,    
 0001.617188, 000976,  0.976, _,    -00042, 000071, -00036,    
 0001.618164, 000976,  0.976, _,    -00040, 000071, -00034,    
 0001.619141, 000977,  0.977, _,    -00039, 000077, -00033,    
 0001.620117, 000976,  0.976, _,    -00041, 000079, -00033,    
 0001.621094, 000976,  0.976, _,    -00043, 000077, -00033,    
 0001.622070, 000975,  0.975, _,    -00040, 000073, -00039,    
 0001.623047, 000975,  0.975, _,    -00035, 000073, -00039,    
 0001.624023, 000975,  0.975, _,    -00038, 000074, -00034,    
 0001.625000, 000975,  0.975, _,    -00042, 000076, -00030,    
 0001.625977, 000975,  0.975, _,    -00042, 000079, -00033,    
 0001.626953, 000975,  0.975, _,    -00038, 000082, -00039,    
 0001.627930, 000975,  0.975, _,    -00034, 000083, -00043,    
 0001.629395, 000978,  0.978, _,    -00033, 000084, -00040,    
 0001.630371, 000977,  0.977, _,    -00032, 000081, -00033,    
