 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    
 7179, 508130, 001158,  1.158, X,    0091, 0154, -029,    
 7179, 509309, 001164,  1.164, X,    0091, 0154, -029,    
 7179, 510496, 001161,  1.161, X,    0091, 0154, -029,    
 7179, 511678, 001161,  1.161, X,    0091, 0154, -029,    
 7179, 512859, 001159,  1.159, X,    0091, 0154, -029,    
 7179, 514039, 001157,  1.157, X,    0093, 0156, -027,    
 7179, 515217, 001159,  1.159, X,    0093, 0156, -027,    
 7179, 516397, 001156,  1.156, X,    0093, 0156, -027,    
 7179, 517574, 001157,  1.157, X,    0093, 0156, -027,    
 7179, 518751, 001158,  1.158, X,    0093, 0156, -027,    
 7179, 519928, 001164,  1.164, X,    0093, 0156, -027,    
 7179, 521114, 001158,  1.158, X,    0093, 0156, -027,    
 7179, 522294, 001158,  1.158, X,    0093, 0156, -027,    
