 time,    start,     dur,        perc,  X,    
 005.380, 040845004, 000001458,  0.000, _,    
 005.390, 050845462, 000001209,  0.000, _,    
 005.400, 060844129, 000000958,  0.000, _,    
 005.410, 070844171, 000001416,  0.000, _,    
 005.420, 080845046, 000001208,  0.000, _,    
 005.430, 090843712, 000001167,  0.000, _,    
 005.440, 100844046, 000000958,  0.000, _,    
 005.450, 110844587, 000000917,  0.000, _,    
 005.460, 120844504, 000001167,  0.000, _,    
 005.470, 130843337, 000000959,  0.000, _,    
 005.480, 140844587, 000001209,  0.000, _,    
 005.490, 150844254, 000001208,  0.000, _,    
 005.500, 160844837, 000000959,  0.000, _,    
 005.510, 170844171, 000001500,  0.000, _,    
 005.520, 180844421, 000001416,  0.000, _,    
 005.530, 190845337, 000001209,  0.000, _,    
 005.540, 200844837, 000001167,  0.000, _,    
 005.550, 210845254, 000000917,  0.000, _,    
 005.560, 220843796, 000000958,  0.000, _,    
 005.570, 230844296, 000000958,  0.000, _,    
 005.580, 240844587, 000001000,  0.000, _,    
 005.590, 250843629, 000001458,  0.000, _,    
 005.600, 260845129, 000001458,  0.000, _,    
 005.610, 270843879, 000001458,  0.000, _,    
 005.620, 280845754, 000001208,  0.000, _,    
 005.630, 290844087, 000001250,  0.000, _,    
 005.640, 300844546, 000000916,  0.000, _,    
 005.650, 310844046, 000001208,  0.000, _,    
 005.660, 320843796, 000001208,  0.000, _,    
 005.670, 330844212, 000001417,  0.000, _,    
 005.680, 340844962, 000001209,  0.000, _,    
 005.690, 350843796, 000001666,  0.000, _,    
 005.700, 360844212, 000001542,  0.000, _,    
 005.710, 370845087, 000001167,  0.000, _,    
 005.720, 380844712, 000001375,  0.000, _,    
 005.730, 390845796, 000000958,  0.000, _,    
 005.740, 400844212, 000001250,  0.000, _,    
 005.750, 410844962, 000001250,  0.000, _,    
 005.760, 420844379, 000001167,  0.000, _,    
 005.770, 430844046, 000001500,  0.000, _,    
