 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0002.085999, 000912,    0061, 0198, -044,    0061.00, 0198.00, -044.00,    -0.2079, -0.4637, 00.7273,    
 0002.096008, 000917,    0065, 0194, -042,    0065.00, 0194.00, -042.00,    -0.2303, -0.4413, 00.7386,    
 0002.105957, 000916,    0061, 0195, -039,    0061.00, 0195.00, -039.00,    -0.2079, -0.4469, 00.7557,    
 0002.115967, 000913,    0065, 0192, -038,    0065.00, 0192.00, -038.00,    -0.2303, -0.4302, 00.7614,    
 0002.125977, 000924,    0062, 0197, -042,    0062.00, 0197.00, -042.00,    -0.2135, -0.4581, 00.7386,    
 0002.135986, 000917,    0070, 0195, -044,    0070.00, 0195.00, -044.00,    -0.2584, -0.4469, 00.7273,    
 0002.145996, 000913,    0067, 0197, -042,    0067.00, 0197.00, -042.00,    -0.2416, -0.4581, 00.7386,    
 0002.156006, 000914,    0064, 0191, -041,    0064.00, 0191.00, -041.00,    -0.2247, -0.4246, 00.7443,    
 0002.165955, 000913,    0065, 0197, -042,    0065.00, 0197.00, -042.00,    -0.2303, -0.4581, 00.7386,    
 0002.175964, 000917,    0061, 0193, -044,    0061.00, 0193.00, -044.00,    -0.2079, -0.4358, 00.7273,    
 0002.185974, 000912,    0065, 0192, -047,    0065.00, 0192.00, -047.00,    -0.2303, -0.4302, 00.7102,    
 0002.195984, 000915,    0068, 0193, -044,    0068.00, 0193.00, -044.00,    -0.2472, -0.4358, 00.7273,    
 0002.205994, 000913,    0065, 0197, -038,    0065.00, 0197.00, -038.00,    -0.2303, -0.4581, 00.7614,    
 0002.216003, 000914,    0066, 0198, -044,    0066.00, 0198.00, -044.00,    -0.2360, -0.4637, 00.7273,    
 0002.225952, 000915,    0061, 0198, -039,    0061.00, 0198.00, -039.00,    -0.2079, -0.4637, 00.7557,    
 0002.235962, 000916,    0066, 0198, -044,    0066.00, 0198.00, -044.00,    -0.2360, -0.4637, 00.7273,    
 0002.245972, 000912,    0061, 0195, -036,    0061.00, 0195.00, -036.00,    -0.2079, -0.4469, 00.7727,    
 0002.255981, 000913,    0065, 0194, -042,    0065.00, 0194.00, -042.00,    -0.2303, -0.4413, 00.7386,    
 0002.265991, 000914,    0068, 0195, -041,    0068.00, 0195.00, -041.00,    -0.2472, -0.4469, 00.7443,    
 0002.276001, 000924,    0065, 0197, -040,    0065.00, 0197.00, -040.00,    -0.2303, -0.4581, 00.7500,    
 0002.286011, 000912,    0067, 0194, -035,    0067.00, 0194.00, -035.00,    -0.2416, -0.4413, 00.7784,    
 0002.295959, 000906,    0062, 0192, -045,    0062.00, 0192.00, -045.00,    -0.2135, -0.4302, 00.7216,    
 0002.305969, 000914,    0060, 0197, -040,    0060.00, 0197.00, -040.00,    -0.2022, -0.4581, 00.7500,    
 0002.315979, 000907,    0065, 0194, -045,    0065.00, 0194.00, -045.00,    -0.2303, -0.4413, 00.7216,    
 0002.325989, 000914,    0062, 0194, -040,    0062.00, 0194.00, -040.00,    -0.2135, -0.4413, 00.7500,    
 0002.335999, 000915,    0065, 0194, -045,    0065.00, 0194.00, -045.00,    -0.2303, -0.4413, 00.7216,    
 0002.346008, 000913,    0066, 0198, -041,    0066.00, 0198.00, -041.00,    -0.2360, -0.4637, 00.7443,    
 0002.355957, 000913,    0059, 0193, -034,    0059.00, 0193.00, -034.00,    -0.1966, -0.4358, 00.7841,    
 0002.365967, 001026,    0064, 0193, -041,    0064.00, 0193.00, -041.00,    -0.2247, -0.4358, 00.7443,    
 0002.375977, 000911,    0067, 0194, -038,    0067.00, 0194.00, -038.00,    -0.2416, -0.4413, 00.7614,    
 0002.385986, 000912,    0062, 0192, -040,    0062.00, 0192.00, -040.00,    -0.2135, -0.4302, 00.7500,    
